"INSTRUMENTID","EXCHANGEID","INSTRUMENTNAME","PRODUCTID","PRODUCTCLASS","MAXLIMITORDERVOLUME","MINLIMITORDERVOLUME","VOLUMEMULTIPLE","PRICETICK","OPENDATE","EXPIREDATE","UNDERLYINGINSTRID","UNDERLYINGMULTIPLE"
"m1812-C-3700","DCE","m1812-C-3700","m_o","2",100,1,10,0.5,"20180928","20181107","m1812",1
"m1812-C-3750","DCE","m1812-C-3750","m_o","2",100,1,10,0.5,"20180928","20181107","m1812",1
"m1812-P-3700","DCE","m1812-P-3700","m_o","2",100,1,10,0.5,"20180928","20181107","m1812",1
"m1812-P-3750","DCE","m1812-P-3750","m_o","2",100,1,10,0.5,"20180928","20181107","m1812",1
"m1908-C-2450","DCE","m1908-C-2450","m_o","2",100,1,10,0.5,"20180928","20190705","m1908",1
"m1908-C-2500","DCE","m1908-C-2500","m_o","2",100,1,10,0.5,"20180928","20190705","m1908",1
"m1908-P-2450","DCE","m1908-P-2450","m_o","2",100,1,10,0.5,"20180928","20190705","m1908",1
"m1807-P-3050","DCE","m1807-P-3050","m_o","2",100,1,10,0.5,"20170929","20180607","m1807",1
"m1807-C-3050","DCE","m1807-C-3050","m_o","2",100,1,10,0.5,"20170929","20180607","m1807",1
"SR803C5500","CZCE","白糖803买权","SRC","2",20,1,10,0.5,"20170801","20180125","SR803",1
"SR801C5500","CZCE","白糖801买权","SRC","2",20,1,10,0.5,"20170801","20171124","SR801",1
"SR711C5500","CZCE","白糖711买权","SRC","2",20,1,10,0.5,"20170801","20170925","SR711",1
"SR803P5500","CZCE","白糖803卖权","SRP","2",20,1,10,0.5,"20170801","20180125","SR803",1
"SR801P5500","CZCE","白糖801卖权","SRP","2",20,1,10,0.5,"20170801","20171124","SR801",1
"SR711P5500","CZCE","白糖711卖权","SRP","2",20,1,10,0.5,"20170801","20170925","SR711",1
"fu1808","SHFE","燃料油1808","fu","1",500,1,50,1,"20170801","20180626",null,0
"SR803C5300","CZCE","白糖803买权","SRC","2",100,1,10,0.5,"20180122","20180125","SR803",1
"SR803P5300","CZCE","白糖803卖权","SRP","2",100,1,10,0.5,"20180122","20180125","SR803",1
"IF1809","CFFEX","IF1809","IF","1",100,1,300,0.2,"20180122","20180921",null,null
"SF810","CZCE","硅铁810","SF","1",1000,1,5,2,"20171023","20181019",null,null
"IC1806","CFFEX","中证500指数1806","IC","1",100,1,200,0.2,"20171023","20180615",null,1
"m1811-P-3050","DCE","m1811-P-3050","m_o","2",100,1,10,0.5,"20171120","20181012","m1811",1
"m1811-C-3050","DCE","m1811-C-3050","m_o","2",100,1,10,0.5,"20171120","20181012","m1811",1
"IF1801","CFFEX","IF1801","IF","1",100,1,300,0.2,"20171120","20180119",null,null
"IH1801","CFFEX","上证50指数1801","IH","1",100,1,300,0.2,"20171120","20180119",null,1
"IC1801","CFFEX","中证500指数1801","IC","1",100,1,200,0.2,"20171120","20180119",null,1
"jd1901","DCE","鲜鸡蛋1901","jd","1",300,1,10,1,"20180129","20190128",null,0
"m1901-P-3150","DCE","m1901-P-3150","m_o","2",100,1,10,0.5,"20180214","20181207","m1901",1
"m1901-P-3100","DCE","m1901-P-3100","m_o","2",100,1,10,0.5,"20180214","20181207","m1901",1
"m1901-P-3050","DCE","m1901-P-3050","m_o","2",100,1,10,0.5,"20180214","20181207","m1901",1
"m1901-C-3150","DCE","m1901-C-3150","m_o","2",100,1,10,0.5,"20180214","20181207","m1901",1
"m1901-C-3100","DCE","m1901-C-3100","m_o","2",100,1,10,0.5,"20180214","20181207","m1901",1
"m1901-C-3050","DCE","m1901-C-3050","m_o","2",100,1,10,0.5,"20180214","20181207","m1901",1
"m1812-P-3100","DCE","m1812-P-3100","m_o","2",100,1,10,0.5,"20180214","20181107","m1812",1
"m1909-P-2850","DCE","m1909-P-2850","m_o","2",100,1,10,0.5,"20180918","20190807","m1909",1
"m1909-P-2900","DCE","m1909-P-2900","m_o","2",100,1,10,0.5,"20180918","20190807","m1909",1
"m1909-P-2950","DCE","m1909-P-2950","m_o","2",100,1,10,0.5,"20180918","20190807","m1909",1
"m1909-P-3000","DCE","m1909-P-3000","m_o","2",100,1,10,0.5,"20180918","20190807","m1909",1
"sc1907","INE","原油1907","sc","1",500,1,1000,0.1,"20180702","20190628",null,1
"SR907C4600","CZCE","白糖907买权","SRC","2",100,1,10,0.5,"20180703","20190527","SR907",1
"SR905C4600","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20180703","20190325","SR905",1
"SR903C4600","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20180703","20190125","SR903",1
"SR811C4600","CZCE","白糖811买权","SRC","2",100,1,10,0.5,"20180703","20180921","SR811",1
"SR907P4600","CZCE","白糖907卖权","SRP","2",100,1,10,0.5,"20180703","20190527","SR907",1
"SR905P4600","CZCE","白糖905卖权","SRP","2",100,1,10,0.5,"20180703","20190325","SR905",1
"SR903P4600","CZCE","白糖903卖权","SRP","2",100,1,10,0.5,"20180703","20190125","SR903",1
"SR811P4600","CZCE","白糖811卖权","SRP","2",100,1,10,0.5,"20180703","20180921","SR811",1
"SR909C4700","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909C4600","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909C4500","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR905C4400","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20180709","20190325","SR905",1
"SR903C4400","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20180709","20190125","SR903",1
"SR811C4400","CZCE","白糖811买权","SRC","2",100,1,10,0.5,"20180709","20180921","SR811",1
"SR809C4400","CZCE","白糖809买权","SRC","2",100,1,10,0.5,"20180709","20180725","SR809",1
"SR909C5500","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909C5400","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR901C5100","CZCE","白糖901买权","SRC","2",100,1,10,0.5,"20180122","20181126","SR901",1
"SR901C5200","CZCE","白糖901买权","SRC","2",100,1,10,0.5,"20180117","20181126","SR901",1
"SR901C5300","CZCE","白糖901买权","SRC","2",100,1,10,0.5,"20170929","20181126","SR901",1
"SR901C5400","CZCE","白糖901买权","SRC","2",100,1,10,0.5,"20170927","20181126","SR901",1
"SR901C5500","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170727","20181126","SR901",1
"SR901C4900","CZCE","白糖901买权","SRC","2",100,1,10,0.5,"20180417","20181126","SR901",1
"SR901C5000","CZCE","白糖901买权","SRC","2",100,1,10,0.5,"20180329","20181126","SR901",1
"SR901C5600","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C5700","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C5800","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C5900","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C6000","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C6100","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C6200","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C6300","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C6400","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C6500","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C6600","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170718","20181126","SR901",1
"SR901C6700","CZCE","白糖901买权","SRC","2",20,1,10,0.5,"20170829","20181126","SR901",1
"SR903C4700","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20180620","20190125","SR903",1
"SR903C4800","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20180611","20190125","SR903",1
"SR903C4900","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20180413","20190125","SR903",1
"SR903C5000","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20180122","20190125","SR903",1
"SR903C5100","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20180122","20190125","SR903",1
"SR903C5200","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20171013","20190125","SR903",1
"m1908-P-2500","DCE","m1908-P-2500","m_o","2",100,1,10,0.5,"20180928","20190705","m1908",1
"m1909-C-2450","DCE","m1909-C-2450","m_o","2",100,1,10,0.5,"20180928","20190807","m1909",1
"m1909-C-3050","DCE","m1909-C-3050","m_o","2",100,1,10,0.5,"20180928","20190807","m1909",1
"m1909-P-2450","DCE","m1909-P-2450","m_o","2",100,1,10,0.5,"20180928","20190807","m1909",1
"m1909-P-3050","DCE","m1909-P-3050","m_o","2",100,1,10,0.5,"20180928","20190807","m1909",1
"wr1903","SHFE","线材1903","wr","1",500,1,10,1,"20181016","20190315",null,0
"wr1908","SHFE","线材1908","wr","1",500,30,10,1,"20181016","20190815",null,0
"cu1910","SHFE","铜1910","cu","1",500,5,5,10,"20181016","20191015",null,null
"zn1910","SHFE","锌1910","zn","1",500,5,5,5,"20181016","20191015",null,null
"al1910","SHFE","铝1910","al","1",500,5,5,5,"20181016","20191015",null,null
"au1901","SHFE","黄金1901","au","1",500,1,1000,0.05,"20181016","20190115",null,null
"rb1910","SHFE","螺纹钢1910","rb","1",500,30,10,1,"20181016","20191015",null,null
"ag1910","SHFE","白银1910","ag","1",500,2,15,1,"20181016","20191015",null,null
"hc1910","SHFE","热轧卷板1910","hc","1",500,30,10,1,"20181016","20191015",null,1
"ni1910","SHFE","镍1910","ni","1",500,6,1,10,"20181016","20191015",null,1
"sn1910","SHFE","锡1910","sn","1",500,2,1,10,"20181016","20191015",null,1
"cu1910C51000","SHFE","cu1910C51000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C52000","SHFE","cu1910C52000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C53000","SHFE","cu1910C53000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C54000","SHFE","cu1910C54000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C55000","SHFE","cu1910C55000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C56000","SHFE","cu1910C56000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P45000","SHFE","cu1910P45000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P46000","SHFE","cu1910P46000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P47000","SHFE","cu1910P47000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P48000","SHFE","cu1910P48000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P49000","SHFE","cu1910P49000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"m1812-P-2450","DCE","m1812-P-2450","m_o","2",100,1,10,0.5,"20180214","20181107","m1812",1
"m1812-C-3100","DCE","m1812-C-3100","m_o","2",100,1,10,0.5,"20180214","20181107","m1812",1
"m1812-C-2450","DCE","m1812-C-2450","m_o","2",100,1,10,0.5,"20180214","20181107","m1812",1
"m1811-P-3150","DCE","m1811-P-3150","m_o","2",100,1,10,0.5,"20180214","20181012","m1811",1
"m1811-C-3150","DCE","m1811-C-3150","m_o","2",100,1,10,0.5,"20180214","20181012","m1811",1
"m1809-P-3150","DCE","m1809-P-3150","m_o","2",100,1,10,0.5,"20180214","20180807","m1809",1
"m1809-C-3150","DCE","m1809-C-3150","m_o","2",100,1,10,0.5,"20180214","20180807","m1809",1
"m1808-P-3150","DCE","m1808-P-3150","m_o","2",100,1,10,0.5,"20180214","20180706","m1808",1
"m1808-C-3150","DCE","m1808-C-3150","m_o","2",100,1,10,0.5,"20180214","20180706","m1808",1
"IF1804","CFFEX","IF1804","IF","1",100,1,300,0.2,"20180223","20180420",null,0
"IH1804","CFFEX","上证50指数1804","IH","1",100,1,300,0.2,"20180223","20180420",null,1
"IC1804","CFFEX","中证500指数1804","IC","1",100,1,200,0.2,"20180223","20180420",null,1
"IH1809","CFFEX","上证50指数1809","IH","1",100,1,300,0.2,"20180122","20180921",null,1
"IC1809","CFFEX","中证500指数1809","IC","1",100,1,200,0.2,"20180122","20180921",null,1
"l1802","DCE","线型低密度聚乙烯1802","l","1",1000,1,5,5,"20170217","20180214",null,0
"jd1802","DCE","鲜鸡蛋1802","jd","1",300,1,10,1,"20170217","20180223",null,0
"bb1802","DCE","细木工板1802","bb","1",1000,1,500,0.05,"20170217","20180214",null,0
"pp1802","DCE","聚丙烯1802","pp","1",1000,1,5,1,"20170217","20180214",null,0
"TA802","CZCE","精对苯二甲酸802","TA","1",1000,1,5,2,"20170217","20180214",null,1
"MA802","CZCE","甲醇MA802","MA","1",1000,1,10,1,"20170217","20180214",null,0
"SM802","CZCE","锰硅802","SM","1",1000,1,5,2,"20170217","20180214",null,0
"FG802","CZCE","玻璃802","FG","1",1000,1,20,1,"20170217","20180214",null,0
"p1802","DCE","棕榈油1802","p","1",1000,1,10,2,"20170217","20180214",null,0
"j1802","DCE","冶金焦炭1802","j","1",500,1,100,0.5,"20170217","20180214",null,1
"jm1802","DCE","焦煤1802","jm","1",1000,1,60,0.5,"20170217","20180214",null,1
"i1802","DCE","铁矿石1802","i","1",1000,1,100,0.5,"20170217","20180214",null,1
"fb1802","DCE","中密度纤维板1802","fb","1",1000,1,500,0.05,"20170217","20180214",null,0
"SF802","CZCE","硅铁802","SF","1",1000,1,5,2,"20170217","20180214",null,0
"SR909C5300","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909C5200","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909C5100","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909C5000","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909C4900","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909C4800","CZCE","白糖909买权","SRC","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR905P4400","CZCE","白糖905卖权","SRP","2",100,1,10,0.5,"20180709","20190325","SR905",1
"SR903P4400","CZCE","白糖903卖权","SRP","2",100,1,10,0.5,"20180709","20190125","SR903",1
"SR811P4400","CZCE","白糖811卖权","SRP","2",100,1,10,0.5,"20180709","20180921","SR811",1
"SR809P4400","CZCE","白糖809卖权","SRP","2",100,1,10,0.5,"20180709","20180725","SR809",1
"SR909P5500","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P5400","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P5300","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P5200","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P5100","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P5000","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P4900","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P4800","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P4700","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P4600","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"SR909P4500","CZCE","白糖909卖权","SRP","2",100,1,10,0.5,"20180709","20190805","SR909",1
"ZC907","CZCE","动力煤ZC907","ZC","1",1000,1,100,0.2,"20180709","20190705",null,1
"SR907C4400","CZCE","白糖907买权","SRC","2",100,1,10,0.5,"20180710","20190527","SR907",1
"SR907P4400","CZCE","白糖907卖权","SRP","2",100,1,10,0.5,"20180710","20190527","SR907",1
"SR903C5300","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170929","20190125","SR903",1
"SR903C5400","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170928","20190125","SR903",1
"SR903C5500","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170925","20190125","SR903",1
"SR903C5600","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C5700","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C5800","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C5900","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C6000","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C6100","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C6200","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C6300","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C6400","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C6500","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR903C6600","CZCE","白糖903买权","SRC","2",100,1,10,0.5,"20170918","20190125","SR903",1
"SR905C4700","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20180620","20190325","SR905",1
"SR905C4800","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20180614","20190325","SR905",1
"SR905C4900","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20180330","20190325","SR905",1
"SR905C5000","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20180122","20190325","SR905",1
"SR905C5100","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20180119","20190325","SR905",1
"SR905C5200","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20180116","20190325","SR905",1
"SR905C5300","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171219","20190325","SR905",1
"SR905C5400","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C5500","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C5600","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C5700","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"cu1910P50000","SHFE","cu1910P50000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P51000","SHFE","cu1910P51000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P52000","SHFE","cu1910P52000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P53000","SHFE","cu1910P53000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P54000","SHFE","cu1910P54000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P55000","SHFE","cu1910P55000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910P56000","SHFE","cu1910P56000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C45000","SHFE","cu1910C45000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C46000","SHFE","cu1910C46000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C47000","SHFE","cu1910C47000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C48000","SHFE","cu1910C48000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C49000","SHFE","cu1910C49000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1910C50000","SHFE","cu1910C50000","cu_o","2",100,1,5,1,"20181016","20190924","cu1910",1
"cu1901P49000","SHFE","cu1901P49000","cu_o","2",100,1,5,1,"20180921","20181224","cu1901",1
"cu1901P50000","SHFE","cu1901P50000","cu_o","2",100,1,5,1,"20180921","20181224","cu1901",1
"cu1905P45000","SHFE","cu1905P45000","cu_o","2",100,1,5,1,"20181220","20190424","cu1905",1
"cu1906C45000","SHFE","cu1906C45000","cu_o","2",100,1,5,1,"20181220","20190527","cu1906",1
"cu1906P45000","SHFE","cu1906P45000","cu_o","2",100,1,5,1,"20181220","20190527","cu1906",1
"cu1907C45000","SHFE","cu1907C45000","cu_o","2",100,1,5,1,"20181220","20190624","cu1907",1
"cu1907P45000","SHFE","cu1907P45000","cu_o","2",100,1,5,1,"20181220","20190624","cu1907",1
"m1912-C-3000","DCE","m1912-C-3000","m_o","2",100,1,10,0.5,"20181220","20191107","m1912",1
"m1912-P-3000","DCE","m1912-P-3000","m_o","2",100,1,10,0.5,"20181220","20191107","m1912",1
"cu1901C45000","SHFE","cu1901C45000","cu_o","2",100,1,5,1,"20181220","20181224","cu1901",1
"cu1901P45000","SHFE","cu1901P45000","cu_o","2",100,1,5,1,"20181220","20181224","cu1901",1
"cu1902C45000","SHFE","cu1902C45000","cu_o","2",100,1,5,1,"20181220","20190125","cu1902",1
"v1802","DCE","聚氯乙烯1802","v","1",1000,1,5,5,"20170217","20180214",null,0
"a1711","DCE","黄大豆1号1711","a","1",1000,1,10,1,"20160517","20171114",null,0
"p1705","DCE","棕榈油1705","p","1",1000,1,10,2,"20160517","20170515",null,0
"l1705","DCE","线型低密度聚乙烯1705","l","1",1000,1,5,5,"20160517","20170515",null,0
"jm1705","DCE","焦煤1705","jm","1",1000,1,60,0.5,"20160517","20170515",null,1
"MA705","CZCE","甲醇MA705","MA","1",1000,1,10,1,"20160517","20170515",null,0
"SF705","CZCE","硅铁705","SF","1",1000,1,5,2,"20160517","20170515",null,0
"wr1705","SHFE","线材1705","wr","1",500,1,10,1,"20160517","20170515",null,0
"au1706","SHFE","黄金1706","au","1",500,1,1000,0.05,"20160517","20170615",null,0
"SR711","CZCE","白砂糖711","SR","1",1000,1,10,1,"20160517","20171114",null,1
"CF705","CZCE","一号棉花705","CF","1",1000,1,5,5,"20160517","20170515",null,1
"TA705","CZCE","精对苯二甲酸705","TA","1",1000,1,5,2,"20160517","20170515",null,1
"b1705","DCE","黄大豆2号1705","b","1",1000,1,10,1,"20160517","20170515",null,0
"m1705","DCE","豆粕1705","m","1",1000,1,10,1,"20160517","20170515",null,0
"y1705","DCE","豆油1705","y","1",1000,1,10,2,"20160517","20170515",null,0
"v1705","DCE","聚氯乙烯1705","v","1",1000,1,5,5,"20160517","20170515",null,0
"j1705","DCE","冶金焦炭1705","j","1",500,1,100,0.5,"20160517","20170515",null,1
"fb1705","DCE","中密度纤维板1705","fb","1",1000,1,500,0.05,"20160517","20170515",null,0
"bb1705","DCE","细木工板1705","bb","1",1000,1,500,0.05,"20160517","20170515",null,0
"pp1705","DCE","聚丙烯1705","pp","1",1000,1,5,1,"20160517","20170515",null,0
"cs1705","DCE","玉米淀粉1705","cs","1",1000,1,10,1,"20160517","20170515",null,0
"PM705","CZCE","普通小麦705","PM","1",1000,1,50,1,"20160517","20170515",null,0
"WH705","CZCE","优质强筋小麦705","WH","1",1000,1,20,1,"20160517","20170515",null,0
"RI705","CZCE","早籼稻705","RI","1",1000,1,20,1,"20160517","20170515",null,0
"al1705","SHFE","铝1705","al","1",500,1,5,5,"20160517","20170515",null,0
"cu1705","SHFE","铜1705","cu","1",500,1,5,10,"20160517","20170515",null,0
"zn1705","SHFE","锌1705","zn","1",500,1,5,5,"20160517","20170515",null,0
"ag1705","SHFE","白银1705","ag","1",500,1,15,1,"20160517","20170515",null,0
"hc1705","SHFE","热轧卷板1705","hc","1",500,1,10,1,"20160517","20170515",null,1
"m1811-C-3950","DCE","m1811-C-3950","m_o","2",100,1,10,0.5,"20181010","20181012","m1811",1
"m1811-P-3950","DCE","m1811-P-3950","m_o","2",100,1,10,0.5,"20181010","20181012","m1811",1
"m1901-C-3750","DCE","m1901-C-3750","m_o","2",100,1,10,0.5,"20181010","20181207","m1901",1
"m1901-P-3750","DCE","m1901-P-3750","m_o","2",100,1,10,0.5,"20181010","20181207","m1901",1
"m1909-C-3150","DCE","m1909-C-3150","m_o","2",100,1,10,0.5,"20181010","20190807","m1909",1
"m1909-P-3150","DCE","m1909-P-3150","m_o","2",100,1,10,0.5,"20181010","20190807","m1909",1
"m1812-C-3850","DCE","m1812-C-3850","m_o","2",100,1,10,0.5,"20181011","20181107","m1812",1
"m1812-P-3850","DCE","m1812-P-3850","m_o","2",100,1,10,0.5,"20181011","20181107","m1812",1
"ZC910","CZCE","动力煤ZC910","ZC","1",1000,1,100,0.2,"20181015","20191014",null,1
"c2003-P-2100","DCE","c2003-P-2100","c_o","2",100,1,10,0.5,"20190430","20200207","c2003",1
"c2003-C-2100","DCE","c2003-C-2100","c_o","2",100,1,10,0.5,"20190430","20200207","c2003",1
"cu1911","SHFE","铜1911","cu","1",500,5,5,10,"20181116","20191115",null,null
"zn1911","SHFE","锌1911","zn","1",500,5,5,5,"20181116","20191115",null,null
"al1911","SHFE","铝1911","al","1",500,5,5,5,"20181116","20191115",null,null
"pb1911","SHFE","铅1911","pb","1",500,5,5,5,"20181116","20191115",null,null
"ag1911","SHFE","白银1911","ag","1",500,2,15,1,"20181116","20191115",null,null
"bu1905","SHFE","石油沥青1905","bu","1",500,1,10,2,"20181116","20190515",null,null
"hc1911","SHFE","热轧卷板1911","hc","1",500,30,10,1,"20181116","20191115",null,1
"sn1911","SHFE","锡1911","sn","1",500,2,1,10,"20181116","20191115",null,1
"au1912","SHFE","黄金1912","au","1",500,3,1000,0.02,"20181116","20191216",null,0
"ru1911","SHFE","天然橡胶1911","ru","1",500,1,10,5,"20181116","20191115",null,null
"rb1911","SHFE","螺纹钢1911","rb","1",500,30,10,1,"20181116","20191115",null,null
"wr1911","SHFE","线材1911","wr","1",500,30,10,1,"20181116","20191115",null,null
"ni1911","SHFE","镍1911","ni","1",500,6,1,10,"20181116","20191115",null,1
"SR905C5800","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C5900","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C6000","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C6100","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C6200","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C6300","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C6400","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171116","20190325","SR905",1
"SR905C6500","CZCE","白糖905买权","SRC","2",100,1,10,0.5,"20171117","20190325","SR905",1
"SR907C4700","CZCE","白糖907买权","SRC","2",100,1,10,0.5,"20180620","20190527","SR907",1
"SR907C4800","CZCE","白糖907买权","SRC","2",100,1,10,0.5,"20180615","20190527","SR907",1
"SR907C4900","CZCE","白糖907买权","SRC","2",100,1,10,0.5,"20180416","20190527","SR907",1
"SR907C5000","CZCE","白糖907买权","SRC","2",100,1,10,0.5,"20180118","20190527","SR907",1
"SR907C5100","CZCE","白糖907买权","SRC","2",100,1,10,0.5,"20180118","20190527","SR907",1
"SR907C5200","CZCE","白糖907买权","SRC","2",100,1,10,0.5,"20180117","20190527","SR907",1
